timestamp,city,temperature,description
2026-07-02T19:37:37.920Z,undefined,26.78,broken clouds
2026-07-02T21:13:17.620Z,undefined,26.23,broken clouds
2026-07-02T23:12:14.928Z,undefined,24.56,broken clouds
2026-07-03T03:40:55.451Z,undefined,21.78,scattered clouds
2026-07-03T07:26:09.832Z,undefined,26.23,few clouds
2026-07-03T10:41:31.531Z,undefined,29.56,scattered clouds
2026-07-03T14:18:53.738Z,undefined,31.78,clear sky
2026-07-03T17:37:01.183Z,undefined,23.21,clear sky
2026-07-03T19:35:30.293Z,undefined,24.56,clear sky
2026-07-03T21:12:12.879Z,undefined,22.89,clear sky
2026-07-03T23:08:58.063Z,undefined,20.67,clear sky
2026-07-04T03:34:04.754Z,undefined,19.56,clear sky
2026-07-04T06:50:03.320Z,undefined,23.45,clear sky
2026-07-04T10:14:59.511Z,undefined,27.89,clear sky
2026-07-04T13:42:54.277Z,undefined,28.45,broken clouds
2026-07-04T15:09:14.804Z,undefined,27.89,broken clouds
2026-07-04T17:11:37.499Z,undefined,24,broken clouds
2026-07-04T19:20:45.366Z,undefined,22.34,scattered clouds
2026-07-04T21:02:43.265Z,undefined,21.23,scattered clouds
2026-07-04T23:00:52.991Z,undefined,19.56,scattered clouds
2026-07-05T03:52:32.464Z,undefined,19,clear sky
2026-07-05T07:31:24.577Z,undefined,21.78,broken clouds
2026-07-05T10:20:16.773Z,undefined,23.45,broken clouds
2026-07-05T13:49:30.416Z,undefined,25.11,overcast clouds
2026-07-05T15:16:27.257Z,undefined,24,overcast clouds
2026-07-05T17:16:16.415Z,undefined,22.89,overcast clouds
2026-07-05T19:24:04.395Z,undefined,20.67,overcast clouds
2026-07-05T21:06:48.131Z,undefined,19.56,broken clouds
2026-07-05T23:05:04.082Z,undefined,17.89,scattered clouds
2026-07-06T03:59:31.998Z,undefined,16.78,overcast clouds
2026-07-06T08:38:44.287Z,undefined,24,clear sky
2026-07-06T13:50:15.556Z,undefined,26.78,scattered clouds
2026-07-06T16:53:36.337Z,undefined,24,scattered clouds
2026-07-06T20:03:48.994Z,undefined,21.23,clear sky
2026-07-06T23:12:02.052Z,undefined,19,clear sky
2026-07-07T03:50:27.566Z,undefined,17.34,scattered clouds
2026-07-07T07:43:41.137Z,undefined,24,clear sky
2026-07-07T11:12:28.154Z,undefined,26.23,clear sky
2026-07-07T14:46:38.161Z,undefined,27.34,scattered clouds
2026-07-07T18:03:49.246Z,undefined,24.56,scattered clouds
2026-07-07T21:27:25.155Z,undefined,21.23,clear sky
2026-07-07T23:05:42.489Z,undefined,20.11,clear sky
2026-07-08T03:17:28.338Z,undefined,17.89,clear sky
2026-07-08T06:31:47.966Z,undefined,21.78,clear sky
2026-07-08T10:22:55.232Z,undefined,26.23,clear sky
2026-07-08T14:24:52.995Z,undefined,29,clear sky
2026-07-08T17:41:29.576Z,undefined,23.47,clear sky
2026-07-08T19:39:21.507Z,undefined,20.13,clear sky
2026-07-08T21:12:14.667Z,undefined,22.34,clear sky
2026-07-08T23:12:11.993Z,undefined,20.67,clear sky
2026-07-09T03:42:07.661Z,undefined,18.45,clear sky
